tiempo actual: 22.1 ocurrencia numero: 1
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
5,0,0,3,0,0,0,0,0
6,1,0,3,1,236.401,210.2,21,0
7,1,10,0,0,213.4,105.682,21,0
8,1,10,0,0,226.6,320.535,21,0
9,1,10,2,1,110.2,259.418,21,0
10,1,10,2,1,329.8,191.011,21,0
11,1,20,3,1,210.2,31.1662,21,0
12,1,20,3,1,229.8,408.83,21,1
13,1,20,3,1,31.1617,229.8,21,1
14,1,20,2,1,408.849,210.2,21,0
paquetes recibidos, entidades en el ambiente 
7,9

tiempo actual: 27.1 ocurrencia numero: 2
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
15,0,0,0,0,0,0,0,0
paquetes recibidos, entidades en el ambiente 
0,0

tiempo actual: 32.1 ocurrencia numero: 3
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
15,1,30,0,0,210.2,31.1545,31,0
16,1,30,0,0,229.8,408.819,31,0
17,1,30,0,0,31.1775,229.8,31,0
18,1,30,0,0,408.85,210.2,31,0
paquetes recibidos, entidades en el ambiente 
0,4

tiempo actual: 37.1 ocurrencia numero: 4
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
19,1,32,0,0,210.2,46.331,36,0
20,1,32,0,0,229.8,393.498,36,0
paquetes recibidos, entidades en el ambiente 
0,2

tiempo actual: 42.1 ocurrencia numero: 5
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
21,1,40,0,0,210.2,31.1454,41,0
22,1,40,0,0,229.8,408.792,41,0
23,1,40,0,0,31.1761,229.8,41,0
24,1,40,0,0,408.847,210.2,41,0
paquetes recibidos, entidades en el ambiente 
0,4

tiempo actual: 47.1 ocurrencia numero: 6
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
25,0,0,0,0,0,0,0,0
paquetes recibidos, entidades en el ambiente 
0,0

tiempo actual: 52.1 ocurrencia numero: 7
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
25,1,50,0,0,210.2,31.1534,51,0
26,1,50,0,0,229.8,408.838,51,0
27,1,50,0,0,31.1794,229.8,51,0
28,1,50,0,0,408.832,210.2,51,0
paquetes recibidos, entidades en el ambiente 
0,4

tiempo actual: 57.1 ocurrencia numero: 8
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
29,1,52,0,0,210.2,46.3105,56,0
30,1,52,0,0,229.8,393.153,56,0
paquetes recibidos, entidades en el ambiente 
0,2

tiempo actual: 62.1 ocurrencia numero: 9
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
31,1,60,0,0,210.2,31.158,61,0
32,1,60,0,0,229.8,408.838,61,0
33,1,60,0,0,31.1619,229.8,61,0
34,1,60,0,0,408.829,210.2,61,0
paquetes recibidos, entidades en el ambiente 
0,4

tiempo actual: 67.1 ocurrencia numero: 10
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
35,0,0,0,0,0,0,0,0
paquetes recibidos, entidades en el ambiente 
0,0

tiempo actual: 72.1 ocurrencia numero: 11
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
35,1,70,0,0,210.2,31.1649,71,0
36,1,70,0,0,229.8,408.836,71,0
37,1,70,0,0,31.1694,229.8,71,0
38,1,70,0,0,408.833,210.2,71,0
paquetes recibidos, entidades en el ambiente 
0,4

tiempo actual: 77.1 ocurrencia numero: 12
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
39,1,72,0,0,229.8,392.776,76,0
40,1,72,0,0,210.2,46.5671,76,0
paquetes recibidos, entidades en el ambiente 
0,2

tiempo actual: 82.1 ocurrencia numero: 13
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
41,1,80,0,0,210.2,31.1735,81,0
42,1,80,0,0,229.8,408.827,81,0
43,1,80,0,0,31.1588,229.8,81,0
44,1,80,0,0,408.805,210.2,81,0
paquetes recibidos, entidades en el ambiente 
0,4

tiempo actual: 87.1 ocurrencia numero: 14
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
45,0,0,0,0,0,0,0,0
paquetes recibidos, entidades en el ambiente 
0,0

tiempo actual: 92.1 ocurrencia numero: 15
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
45,1,90,0,0,210.2,31.1619,91,0
46,1,90,0,0,229.8,408.859,91,0
47,1,90,0,0,31.181,229.8,91,0
48,1,90,0,0,408.86,210.2,91,0
paquetes recibidos, entidades en el ambiente 
0,4

tiempo actual: 97.1 ocurrencia numero: 16
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
49,1,92,0,0,229.8,393.715,96,0
50,1,92,0,0,210.2,46.3301,96,0
paquetes recibidos, entidades en el ambiente 
0,2

tiempo actual: 102.1 ocurrencia numero: 17
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
