tiempo actual: 22.1 ocurrencia numero: 0
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
23,1,40,14,0,193.961,229.8,49.8931,62,1
24,1,40,3,0,264.245,210.2,39.9909,57,0
25,1,50,19,0,213.4,189.164,71.0897,67,1
26,1,50,8,0,226.6,263.151,50.6047,67,0
27,1,50,0,0,0,0,0,0,0
28,1,50,0,0,0,0,0,0,0
29,1,52,18,0,210.2,193.497,69.9573,72,0
30,1,52,7,0,229.8,259.517,43.7707,72,0
31,1,60,16,0,210.2,182.131,81.3231,77,0
32,1,60,5,0,229.8,266.525,50.7791,82,1
33,1,60,12,0,180.257,229.8,63.5972,77,1
34,1,60,2,0,251.468,210.2,27.2143,82,0
35,1,70,15,0,213.4,185.944,74.3103,87,1
36,1,70,4,0,226.6,264.928,52.3819,87,0
37,1,70,0,0,0,0,0,0,0
38,1,70,0,0,0,0,0,0,0
39,1,72,2,0,226.6,247.402,34.8563,97,0
40,1,72,14,0,213.187,177.394,83.074,92,0
41,1,80,13,0,210.2,174.309,89.1454,97,0
42,1,80,1,0,240.702,229.8,3.15236,102,1
43,1,80,8,0,172.973,229.8,70.8808,97,1
44,1,80,19,0,236.401,210.2,27.0532,102,0
45,1,90,11,0,213.4,176.408,83.8464,107,1
46,1,90,2,0,226.6,228.75,18.3044,112,0
47,1,90,0,0,0,0,0,0,0
48,1,90,0,0,0,0,0,0,0
49,1,92,2,0,229.8,241.406,25.66,112,0
50,1,92,11,0,210.2,172.585,90.8696,112,0
51,1,100,1,0,209.904,206.669,57.0804,157,0
52,1,100,20,0,229.8,265.071,49.3256,117,1
53,1,100,3,0,186.736,226.6,60.3183,122,1
54,1,100,15,0,236.806,213.4,23.4486,122,0
55,1,110,7,0,213.4,173.575,86.679,132,1
56,1,110,18,0,226.6,257.643,45.0967,132,0
57,1,110,0,0,0,0,0,0,0
58,1,110,0,0,0,0,0,0,0
59,1,112,2,0,213.4,203.713,56.5409,157,0
60,1,112,18,0,229.8,256.867,41.1214,132,0
61,1,120,2,0,210.2,191.443,72.0109,157,0
62,1,120,17,0,229.8,264.244,48.4984,137,1
63,1,120,2,0,177.81,229.8,66.0442,137,1
64,1,120,12,0,253.849,210.2,29.5947,137,0
65,1,130,2,0,213.4,188.985,71.2691,157,1
66,1,130,14,0,226.6,245.532,32.9857,152,0
67,1,130,0,0,0,0,0,0,0
68,1,130,0,0,0,0,0,0,0
69,1,132,2,0,210.2,177.096,86.358,157,0
70,1,132,14,0,226.813,259.506,46.7467,152,0
71,1,140,1,0,208.898,208.637,56.1194,162,0
72,1,140,13,0,229.8,265.096,49.35,157,1
73,1,140,15,0,171.159,229.8,72.6955,157,1
74,1,140,7,0,246.128,213.4,18.6743,162,0
75,1,150,3,0,213.4,199.132,61.1219,167,1
76,1,150,12,0,226.6,263.5,50.954,167,0
77,1,150,0,0,0,0,0,0,0
78,1,150,0,0,0,0,0,0,0
79,1,152,1,0,210.2,218.017,45.4373,172,0
80,1,152,11,0,229.8,266.759,51.0135,172,0
81,1,160,11,0,210.2,172.407,91.0472,177,0
82,1,160,2,0,229.8,240.015,24.2693,217,1
83,1,160,11,0,181.649,229.8,62.2055,177,1
84,1,160,2,0,256.974,210.2,32.7195,192,0
85,1,170,9,0,213.4,179.548,80.7062,187,1
86,1,170,7,0,226.6,266.433,53.8869,192,0
87,1,170,0,0,0,0,0,0,0
88,1,170,0,0,0,0,0,0,0
89,1,172,8,0,210.2,190.392,73.0618,192,0
90,1,172,2,0,226.6,242.129,29.5831,217,0
91,1,180,6,0,210.2,188.291,75.1631,202,0
92,1,180,2,0,229.8,253.866,38.1201,217,1
93,1,180,7,0,182.2,229.8,61.6542,197,1
94,1,180,2,0,234.933,210.2,28.5209,202,0
95,1,190,5,0,213.4,186.393,73.861,207,1
96,1,190,3,0,226.6,255.91,43.3637,217,0
97,1,190,0,0,0,0,0,0,0
98,1,190,0,0,0,0,0,0,0
99,1,192,4,0,213.4,186.163,74.0913,212,0
100,1,192,2,0,226.6,230.539,17.9932,222,0
101,1,200,2,0,210.2,180.936,82.518,222,0
102,1,200,2,0,229.8,245.417,29.6709,222,1
103,1,200,2,0,194.663,229.8,49.1915,222,1
104,1,200,3,0,255.45,210.2,31.1962,217,0
105,1,210,1,0,213.4,173.46,86.7937,227,1
106,1,210,1,0,226.6,261.794,49.2486,227,0
107,1,210,0,0,0,0,0,0,0
108,1,210,0,0,0,0,0,0,0
109,1,212,0,0,0,0,0,0,0
110,1,212,0,0,0,0,0,0,0
111,1,220,0,0,0,0,0,0,0
112,1,220,0,0,0,0,0,0,0
113,1,220,0,0,0,0,0,0,0
114,1,220,0,0,0,0,0,0,0
115,1,230,0,0,0,0,0,0,0
116,1,230,0,0,0,0,0,0,0
117,1,230,0,0,0,0,0,0,0
118,1,230,0,0,0,0,0,0,0
119,1,232,0,0,0,0,0,0,0
120,1,232,0,0,0,0,0,0,0
121,1,240,0,0,0,0,0,0,0
122,1,240,0,0,0,0,0,0,0
123,1,240,0,0,0,0,0,0,0
124,1,240,0,0,0,0,0,0,0
125,1,250,0,0,0,0,0,0,0
126,1,250,0,0,0,0,0,0,0
127,1,250,0,0,0,0,0,0,0
128,1,250,0,0,0,0,0,0,0
129,1,252,0,0,0,0,0,0,0
130,1,252,0,0,0,0,0,0,0
131,1,260,0,0,0,0,0,0,0
132,1,260,0,0,0,0,0,0,0
133,1,260,0,0,0,0,0,0,0
134,1,260,0,0,0,0,0,0,0
135,1,270,0,0,0,0,0,0,0
136,1,270,0,0,0,0,0,0,0
137,1,270,0,0,0,0,0,0,0
138,1,270,0,0,0,0,0,0,0
139,1,272,0,0,0,0,0,0,0
140,1,272,0,0,0,0,0,0,0
141,1,280,0,0,0,0,0,0,0
142,1,280,0,0,0,0,0,0,0
143,1,280,0,0,0,0,0,0,0
144,1,280,0,0,0,0,0,0,0
145,1,290,0,0,0,0,0,0,0
146,1,290,0,0,0,0,0,0,0
147,1,290,0,0,0,0,0,0,0
148,1,290,0,0,0,0,0,0,0
149,1,292,0,0,0,0,0,0,0
150,1,292,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0
--- 
