tiempo actual: 22.1 ocurrencia numero: 0
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
35,1,70,0,0,213.4,78.4197,77,0
36,1,70,0,0,226.6,362.674,77,0
37,1,70,0,0,75.5592,229.8,77,0
38,1,70,0,0,363.608,210.2,77,0
39,1,72,0,0,229.8,383.55,77,0
40,1,72,0,0,210.2,55.4069,77,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 83.1 ocurrencia numero: 13
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
35,1,70,0,0,213.4,130.067,82,0
36,1,70,0,0,226.6,312.846,82,0
37,1,70,0,0,110.2,245.975,82,0
38,1,70,0,0,329.8,189.678,82,0
39,1,72,0,0,229.8,334.449,82,0
40,1,72,0,0,210.2,101.738,82,0
41,1,80,0,0,210.2,34.3778,82,0
42,1,80,0,0,229.8,405.709,82,0
43,1,80,0,0,34.3324,229.8,82,0
44,1,80,0,0,405.648,210.2,82,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 88.1 ocurrencia numero: 14
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
35,1,70,1,0,213.4,185.3,87,1
36,1,70,1,0,226.6,265.366,87,0
37,1,70,0,0,110.2,294.632,87,0
38,1,70,0,0,329.8,137.505,87,0
39,1,72,0,0,229.8,289.626,87,0
40,1,72,0,0,210.2,144.733,87,0
41,1,80,0,0,210.2,76.9698,87,0
42,1,80,0,0,229.8,364.187,87,0
43,1,80,0,0,75.717,229.8,87,0
44,1,80,0,0,365.241,210.2,87,0
paquetes recibidos, entidades en rango 
2,4

tiempo actual: 93.1 ocurrencia numero: 15
